grid_id,lon,lat,obs_density,species_richness,threat_mean,migration_ratio
1_5,-8.909563536910358,7.274954724176193,0.0,0.0,0.0,0.0
1_6,-8.90956353691036,7.720267682034174,0.0,0.0,0.0,0.0
1_7,-8.90956353691036,8.165111943919818,0.0,0.0,0.0,0.0
1_8,-8.909563536910358,8.609461217879373,0.0,0.0,0.0,0.0
1_9,-8.909563536910358,9.05328936035111,0.0,0.0,0.0,0.0
1_10,-8.909563536910358,9.496570383572958,0.0,0.0,0.0,0.0
1_11,-8.90956353691036,9.939278462877956,0.0,0.0,0.0,0.0
1_12,-8.90956353691036,10.38138794387276,0.0,0.0,0.0,0.0
1_13,-8.909563536910358,10.822873349494632,0.0,0.0,0.0,0.0
1_14,-8.909563536910358,11.263709386942466,0.0,0.0,0.0,0.0
1_15,-8.90956353691036,11.703870954477553,0.0,0.0,0.0,0.0
1_16,-8.90956353691036,12.143333148090038,0.0,0.0,0.0,0.0
1_17,-8.909563536910358,12.582071268027068,0.0,0.0,0.0,0.0
1_18,-8.90956353691036,13.020060825178932,0.0,0.0,0.0,0.0
1_19,-8.90956353691036,13.457277547319572,0.0,0.0,0.0,0.0
1_20,-8.90956353691036,13.893697385198118,0.0,0.0,0.0,0.0
1_21,-8.90956353691036,14.329296518478158,0.0,0.0,0.0,0.0
1_22,-8.90956353691036,14.764051361521819,0.0,0.0,0.0,0.0
1_23,-8.90956353691036,15.197938569015752,0.0,0.0,0.0,0.0
1_24,-8.90956353691036,15.630935041436375,0.0,0.0,0.0,0.0
1_25,-8.909563536910358,16.063017930351986,0.0,0.0,0.0,0.0
1_26,-8.90956353691036,16.494164643559404,0.0,0.0,0.0,0.0
1_27,-8.90956353691036,16.92435285005315,0.0,0.0,0.0,0.0
1_28,-8.909563536910362,17.353560484825216,0.0,0.0,0.0,0.0
1_29,-8.90956353691036,17.781765753493815,0.0,0.0,0.0,0.0
1_30,-8.90956353691036,18.208947136759583,0.0,0.0,0.0,0.0
1_31,-8.909563536910358,18.63508339468794,0.0,0.0,0.0,0.0
1_32,-8.90956353691036,19.06015357081654,0.0,0.0,0.0,0.0
1_33,-8.90956353691036,19.484136996086804,0.0,0.0,0.0,0.0
1_34,-8.909563536910358,19.907013292599007,0.0,0.0,0.0,0.0
1_35,-8.90956353691036,20.328762377190067,0.0,0.0,0.0,0.0
1_36,-8.90956353691036,20.749364464834027,1.0,1.0,3.0,0.0
1_37,-8.90956353691036,21.168800071864805,7.0,3.0,3.0,0.42857142857142855
1_38,-8.90956353691036,21.587050019021284,23.0,3.0,0.0,0.21739130434782608
1_39,-8.909563536910358,22.004095434314966,8.0,1.0,0.0,0.375
1_40,-8.90956353691036,22.419917755720505,57.0,2.0,0.0,0.14035087719298245
1_41,-8.909563536910358,22.834498733689607,3.0,1.0,0.0,0.0
1_42,-8.90956353691036,23.247820433489043,0.0,0.0,0.0,0.0
1_43,-8.90956353691036,23.65986523736355,0.0,0.0,0.0,0.0
1_44,-8.909563536910358,24.070615846524678,0.0,0.0,0.0,0.0
1_45,-8.90956353691036,24.480055282966692,0.0,0.0,0.0,0.0
1_46,-8.90956353691036,24.888166891110835,0.0,0.0,0.0,0.0
1_47,-8.90956353691036,25.29493433927947,0.0,0.0,0.0,0.0
1_48,-8.90956353691036,25.70034162100153,0.0,0.0,0.0,0.0
1_49,-8.90956353691036,26.104373056151104,0.0,0.0,0.0,0.0
1_50,-8.909563536910358,26.507013291921044,0.0,0.0,0.0,0.0
1_51,-8.90956353691036,26.908247303633352,0.0,0.0,0.0,0.0
1_52,-8.90956353691036,27.308060395388765,0.0,0.0,0.0,0.0
1_53,-8.90956353691036,27.706438200557347,0.0,0.0,0.0,0.0
1_54,-8.90956353691036,28.10336668211272,0.0,0.0,0.0,0.0
1_55,-8.909563536910362,28.498832132812176,0.0,0.0,0.0,0.0
1_56,-8.909563536910358,28.892821175225226,0.0,0.0,0.0,0.0
1_57,-8.909563536910358,29.28532076161317,0.0,0.0,0.0,0.0
1_58,-8.909563536910358,29.676318173662395,0.0,0.0,0.0,0.0
1_59,-8.909563536910358,30.0658010220741,0.0,0.0,0.0,0.0
1_60,-8.909563536910362,30.453757246013446,0.0,0.0,0.0,0.0
1_61,-8.909563536910358,30.84017511242084,0.0,0.0,0.0,0.0
1_62,-8.90956353691036,31.225043215188517,0.0,0.0,0.0,0.0
1_63,-8.90956353691036,31.608350474205306,0.0,0.0,0.0,0.0
1_64,-8.90956353691036,31.990086134272822,0.0,0.0,0.0,0.0
1_65,-8.909563536910358,32.37023976389608,0.0,0.0,0.0,0.0
1_66,-8.909563536910358,32.748801253951854,0.0,0.0,0.0,0.0
1_67,-8.90956353691036,33.1257608162379,0.0,0.0,0.0,0.0
1_68,-8.90956353691036,33.50110898190636,0.0,0.0,0.0,0.0
1_69,-8.90956353691036,33.87483659978472,0.0,0.0,0.0,0.0
1_70,-8.909563536910358,34.246934834587364,0.0,0.0,0.0,0.0
