grid_id,obs_density,species_richness,migration_ratio,latitude,longitude
13_67,118,1,0.5,34.120951435694295,74.68011716780677
13_68,19,1,0.0,34.49197000246,74.68011716780677
13_73,2,1,0.5,36.32225637712781,74.68011716780677
14_13,138,2,0.3405797101449275,11.994253568227144,75.12927480986653
14_14,10,2,0.3,12.433243423364331,75.12927480986653
14_15,3,2,0.3333333333333333,12.871492981781698,75.12927480986653
14_16,20,1,0.35,13.308977896137208,75.12927480986653
14_17,3,1,0.6666666666666666,13.745674040031027,75.12927480986653
14_21,4,1,0.25,15.484096447164378,75.12927480986653
14_23,1,1,0.0,16.347964961207236,75.12927480986653
14_26,3,1,0.0,17.63658061663447,75.12927480986653
14_27,5,1,0.8,18.06411479211288,75.12927480986653
14_28,1,1,1.0,18.490610988853064,75.12927480986653
14_31,4,1,0.5,19.76366260418023,75.12927480986653
14_34,7,1,0.0,21.026631845952377,75.12927480986653
14_4,2,1,0.0,8.014150043889725,75.12927480986653
14_48,3,1,0.3333333333333333,26.77231686184259,75.12927480986653
14_49,1,1,0.0,27.172615960128685,75.12927480986653
14_50,22,1,0.6363636363636364,27.571484572845726,75.12927480986653
14_54,1,1,0.0,29.15237613428415,75.12927480986653
14_56,6,1,0.0,29.933886790328533,75.12927480986653
14_6,1,1,1.0,8.902684943528312,75.12927480986653
14_66,5,1,0.8,33.74829778436251,75.12927480986653
14_67,19,1,0.4210526315789473,34.120951435694295,75.12927480986653
14_9,1,1,1.0,10.231385512182252,75.12927480986653
15_11,10,2,0.3,11.114151424867142,75.57843245192629
15_12,50,2,0.44,11.554547978511467,75.57843245192629
15_13,49,2,0.6530612244897959,11.994253568227148,75.57843245192629
15_14,12,1,0.5,12.433243423364331,75.57843245192629
15_15,2,1,0.5,12.871492981781698,75.57843245192629
15_16,15,1,0.3333333333333333,13.308977896137202,75.57843245192629
15_17,5,1,0.6,13.745674040031028,75.57843245192629
15_19,2,1,0.5,14.616604651341389,75.57843245192629
15_28,1,1,0.0,18.49061098885306,75.57843245192629
15_31,2,1,0.0,19.76366260418023,75.57843245192629
15_33,3,1,0.0,20.606795505313507,75.57843245192629
15_34,54,1,0.4629629629629629,21.026631845952377,75.57843245192629
