grid_id,obs_density,species_richness,migration_ratio
27_48,16,1,0.25
27_52,12,1,0.25
27_53,1,1,0.0
28_22,2,1,0.5
28_23,3,2,0.3333333333333333
28_24,2,1,1.0
28_25,2,1,0.0
28_26,3,1,0.0
28_32,1,1,0.0
28_33,6,1,0.16666666666666666
28_35,9,1,0.5555555555555556
28_38,1,1,1.0
28_5,2,1,1.0
29_22,1,1,1.0
29_26,5,1,0.0
29_29,4,1,0.75
29_33,8,1,0.0
29_34,13,1,0.3076923076923077
29_35,24,1,0.5833333333333334
29_36,4,1,0.0
29_38,2,1,0.0
29_41,1,1,0.0
29_44,1,1,0.0
29_45,24,1,0.4583333333333333
29_5,1,1,1.0
2_34,1,1,0.0
2_35,20,1,0.05
2_36,2,1,0.0
2_37,15,1,0.0
2_38,2,2,0.5
2_39,16,1,0.0
2_40,28,1,0.03571428571428571
2_41,3,2,0.6666666666666666
30_23,1,1,0.0
30_24,2,2,0.5
30_25,1,1,0.0
30_29,3,1,0.6666666666666666
30_30,1,1,0.0
30_33,1,1,1.0
30_35,8,1,0.625
30_36,2,1,0.0
30_44,1,1,0.0
30_48,3,1,0.0
30_50,1,1,0.0
31_23,3,1,0.6666666666666666
31_26,4,1,0.5
31_29,1,1,1.0
31_30,2,1,0.0
31_32,5,1,0.2
31_35,2,1,0.0
31_38,2,1,1.0
31_39,1,1,0.0
31_44,3,2,0.6666666666666666
32_25,4,2,0.25
32_26,81,4,0.18518518518518517
32_27,10,2,0.3
32_28,1,1,1.0
32_30,3,1,1.0
32_31,24,1,0.375
32_32,6,1,0.8333333333333334
32_36,1,1,0.0
32_39,1,1,1.0
32_44,2,1,0.0
32_48,1,1,1.0
32_49,1,1,0.0
33_26,3,1,0.0
33_27,18,3,0.16666666666666666
33_28,1,1,0.0
33_32,9,1,0.1111111111111111
33_36,1,1,1.0
33_39,1,1,0.0
33_43,1,1,1.0
34_25,2,1,0.5
34_26,2,1,0.5
34_27,1,1,1.0
34_28,4,2,0.0
34_29,3,1,0.3333333333333333
